Штрихкод;Номенклатура;;Габарит;Ед изм;Склад;Документ поступления;Номер;Дата;Количество;Стоимость;Поставщик
2000000009551;00526230842 Лист ПН - О - 36 х 1500 х 6000 ГОСТ 19903-2015/390 - 12 - 10ХСНД - ГС ГОСТ 19281-2014;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001664 от 11.05.2018 15:31:44;0000-001664;11.05.2018 15:31;5 140.00;275991.89;СПЕЦМЕТАЛЛ ООО
2000000008349;20470100034 Клапан предохранительный МКПВ-20/3Т2В1 УХЛ4 ТУ2-053-1737-85;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 217 от 29.12.2017 0:00:00;217;29.12.2017 0:00;1;5508.47;Промгидравлика ООО
2000000006352;20470370010 Гидрораспределитель МР1-4 ОСТВ5.5510-81, 577-03.072;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000187 от 23.11.2017 14:53:13;187;23.11.2017 14:53;1;16610.17;НеоМарин ООО
2000000009421;00486618802 Заготовка квадратная 2 - 250 - 12Х18Н10Т ТУ 14-1-4492-88/ГОСТ 5632-2014;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-000864 от 14.03.2018 0:00:00;0000-000864;14.03.2018 0:00;1 448.00;261376.26;МЕЧЕЛ-СЕРВИС ООО
2000000010663;00486618802 Заготовка квадратная 2 - 250 - 12Х18Н10Т ТУ 14-1-4492-88/ГОСТ 5632-2014;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-000478 от 15.02.2018 14:49:15;0000-000478;15.02.2018 14:49;2 842.00;513005.08;МЕЧЕЛ-СЕРВИС ООО
2000000010663;00486618802 Заготовка квадратная 2 - 250 - 12Х18Н10Т ТУ 14-1-4492-88/ГОСТ 5632-2014;;;кг;Склад цех 11;Поступление товаров и услуг 0000-000478 от 15.02.2018 14:49:15;0000-000478;15.02.2018 14:49;414.1;74748.56;МЕЧЕЛ-СЕРВИС ООО
2000000013411;00524158495 Лист ПУ - О - 20 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад цех 14;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;8.8;511.29;Нева-МеталлТрэйд ООО
2000000013411;00524158495 Лист ПУ - О - 20 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;4 386.00;254834.04;Нева-МеталлТрэйд ООО
2000000009537;00520408074 Лист Б - ПН - О - 5 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад цех 14;Поступление товаров и услуг 0000-001222 от 05.04.2018 15:55:37;0000-001222;05.04.2018 15:55;26.95;993.50;МЕЧЕЛ-СЕРВИС ООО
2000000009537;00520408074 Лист Б - ПН - О - 5 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001222 от 05.04.2018 15:55:37;0000-001222;05.04.2018 15:55;4 564.00;168249.18;МЕЧЕЛ-СЕРВИС ООО
2000000013428;00520408110 Лист Б - ПН - О - 6 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001222 от 05.04.2018 15:55:37;0000-001222;05.04.2018 15:55;2 122.00;78226.26;МЕЧЕЛ-СЕРВИС ООО
2000000014869;00520408155 Лист Б - ПН - О - 8 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад цех 14;Поступление товаров и услуг 0000-001129 от 29.03.2018 0:00:00;0000-001129;29.03.2018 0:00;622.825;22960.08;МЕЧЕЛ-СЕРВИС ООО
2000000014876;00520408155 Лист Б - ПН - О - 8 х 1500 х 6000 ГОСТ 19903-2015/Ст3пс 5 - св ГОСТ 14637-89;;;кг;Склад цех 14;Поступление товаров и услуг 0000-001222 от 05.04.2018 15:55:37;0000-001222;05.04.2018 15:55;119.92;4420.25;МЕЧЕЛ-СЕРВИС ООО
